title,artist,preview_url
Happy,Pharrell Williams,"https://cdnt-preview.dzcdn.net/api/1/1/5/1/c/0/51c7b9101de2ec35cc1eb6fc7af1e768.mp3?hdnea=exp=1751246533~acl=/api/1/1/5/1/c/0/51c7b9101de2ec35cc1eb6fc7af1e768.mp3*~data=user_id=0,application_id=42~hmac=1ab731d771a2dcb89598745a8f511fb03f9aaa5c1f14dcd7ffb66b4fff6e0dfc"
Superstition,Stevie Wonder,"https://cdnt-preview.dzcdn.net/api/1/1/a/6/9/0/a6920c873894ff53e74c4786a8f64a22.mp3?hdnea=exp=1751246534~acl=/api/1/1/a/6/9/0/a6920c873894ff53e74c4786a8f64a22.mp3*~data=user_id=0,application_id=42~hmac=49e7dbf1e42e5c751e11ee4ad46e1dd6c17c0149de878be0db508d05c47fb8d9"
Macarena,Los Del Rio,"https://cdnt-preview.dzcdn.net/api/1/1/d/d/e/0/ddeba4c53d5b9785f3f0375201bfb422.mp3?hdnea=exp=1751246535~acl=/api/1/1/d/d/e/0/ddeba4c53d5b9785f3f0375201bfb422.mp3*~data=user_id=0,application_id=42~hmac=1a3060cde4a941a560aa3638116899602b5008082b1509939891db5f8467c6c2"
Poker Face,Lady Gaga,"https://cdnt-preview.dzcdn.net/api/1/1/2/3/3/0/233fe3a96cf1654b2cf30be68cb94624.mp3?hdnea=exp=1751246535~acl=/api/1/1/2/3/3/0/233fe3a96cf1654b2cf30be68cb94624.mp3*~data=user_id=0,application_id=42~hmac=e9de3704708f8725634adda0c3b1337fb9de296a506aa6c928757d9cef160aac"
Unholy,Sam Smith & Kim Petras,"https://cdnt-preview.dzcdn.net/api/1/1/3/5/2/0/352138847861c03946c2cac89d2ad77d.mp3?hdnea=exp=1751246536~acl=/api/1/1/3/5/2/0/352138847861c03946c2cac89d2ad77d.mp3*~data=user_id=0,application_id=42~hmac=56ee5db0bd3823ad18fc6918172bc3dd713b2fd6df52a456b3a7f134ff3a2f74"
Walk Like an Egyptian,The Bangles,"https://cdnt-preview.dzcdn.net/api/1/1/1/f/4/0/1f4a1e12663babaced37feb3a08cda90.mp3?hdnea=exp=1751246537~acl=/api/1/1/1/f/4/0/1f4a1e12663babaced37feb3a08cda90.mp3*~data=user_id=0,application_id=42~hmac=d2c144442a266a462691a4519f610ab33cdf7127ddaa9cc58f726a06fe96e5f8"
Sweet Child o' Mine,Guns N' Roses,"https://cdnt-preview.dzcdn.net/api/1/1/5/9/1/0/59115eec88ea0bc7742eaba93facf49b.mp3?hdnea=exp=1751246537~acl=/api/1/1/5/9/1/0/59115eec88ea0bc7742eaba93facf49b.mp3*~data=user_id=0,application_id=42~hmac=96076f04dfcf9118dcc21891579bf5c1f6b7c8b477bd5b58cb06a04d186c8225"
Call Me Maybe,Carly Rae Jepsen,"https://cdnt-preview.dzcdn.net/api/1/1/f/5/0/0/f50d5f60c5d11bd30fc5d784d8a21f0c.mp3?hdnea=exp=1751246538~acl=/api/1/1/f/5/0/0/f50d5f60c5d11bd30fc5d784d8a21f0c.mp3*~data=user_id=0,application_id=42~hmac=050e824ecd2ec9e5b7ad57df1bf31abcc29e0680d1abea05b228db2f324f88a6"
No Scrubs,TLC,"https://cdnt-preview.dzcdn.net/api/1/1/1/0/8/0/1089b05806068e19ab4d8ebc48c06c8d.mp3?hdnea=exp=1751246539~acl=/api/1/1/1/0/8/0/1089b05806068e19ab4d8ebc48c06c8d.mp3*~data=user_id=0,application_id=42~hmac=5071e042ef420f489d2f692ffa4cd624d19e76c7a89ce6992464fe3d4f66adb2"
Hotel California,Eagles,"https://cdnt-preview.dzcdn.net/api/1/1/d/e/0/0/de0b52925103149e94a7123d0c0cb6c4.mp3?hdnea=exp=1751246540~acl=/api/1/1/d/e/0/0/de0b52925103149e94a7123d0c0cb6c4.mp3*~data=user_id=0,application_id=42~hmac=1c4f46f1e0da128f0062054ebbd9f81b735bea6a847ba16e8a2284fe3b3f13ce"
