title,artist,preview_url
I Want to Hold Your Hand,The Beatles,"https://cdnt-preview.dzcdn.net/api/1/1/6/d/2/0/6d2ecadd74d73423993e5fdb370b03d2.mp3?hdnea=exp=1751246570~acl=/api/1/1/6/d/2/0/6d2ecadd74d73423993e5fdb370b03d2.mp3*~data=user_id=0,application_id=42~hmac=8dc16c10462115a8924d638d066fd0d5fcfcff3cb2ca79a0fbf015f49ed81842"
Killing Me Softly,Fugees,"https://cdnt-preview.dzcdn.net/api/1/1/e/c/4/0/ec4f8a68f51cf3d04400bf183de3f0e3.mp3?hdnea=exp=1751246571~acl=/api/1/1/e/c/4/0/ec4f8a68f51cf3d04400bf183de3f0e3.mp3*~data=user_id=0,application_id=42~hmac=cdf0e0b1ef8bd73205426144c49cd2a1121f054690979a242d0f13571da7ac77"
Imagine,John Lennon,"https://cdnt-preview.dzcdn.net/api/1/1/f/c/9/0/fc9e6e7fd857d23c06e58da584e8e7d5.mp3?hdnea=exp=1751246572~acl=/api/1/1/f/c/9/0/fc9e6e7fd857d23c06e58da584e8e7d5.mp3*~data=user_id=0,application_id=42~hmac=5cd153ea1b79d4268d06da2383fce0c18cafca9ec0da450b323c507419367679"
Smells Like Teen Spirit,Nirvana,"https://cdnt-preview.dzcdn.net/api/1/1/7/2/2/0/7223ff924f958594fe4e2dd4692475a0.mp3?hdnea=exp=1751246572~acl=/api/1/1/7/2/2/0/7223ff924f958594fe4e2dd4692475a0.mp3*~data=user_id=0,application_id=42~hmac=33c442e8111bffcb5a33d2ddb9d1130694617988614bc22ca3c2481f407dc1e4"
As It Was,Harry Styles,"https://cdnt-preview.dzcdn.net/api/1/1/9/3/7/0/9372c78844baf74b7a06bd467151518a.mp3?hdnea=exp=1751246573~acl=/api/1/1/9/3/7/0/9372c78844baf74b7a06bd467151518a.mp3*~data=user_id=0,application_id=42~hmac=5758f8d1b240311800ea92db6f207fe62ef2af889593988179cbe0601e5be5ce"
Good Vibrations,The Beach Boys,"https://cdnt-preview.dzcdn.net/api/1/1/3/b/8/0/3b8ae26a77c0a4f808019edfb9e3a672.mp3?hdnea=exp=1751246574~acl=/api/1/1/3/b/8/0/3b8ae26a77c0a4f808019edfb9e3a672.mp3*~data=user_id=0,application_id=42~hmac=c677532f5627bbb1a55b740c1b825274bc77e9c0975806b3b8904b3b3e4b9c3f"
Stay,The Kid LAROI & Justin Bieber,"https://cdnt-preview.dzcdn.net/api/1/1/b/0/d/0/b0d419a2ca5ba529ecccb5992bba154d.mp3?hdnea=exp=1751246574~acl=/api/1/1/b/0/d/0/b0d419a2ca5ba529ecccb5992bba154d.mp3*~data=user_id=0,application_id=42~hmac=ee41d7f412580136d5961c3a4da408dedb444af15d543098769bbdd02954a4a5"
Take On Me,a-ha,"https://cdnt-preview.dzcdn.net/api/1/1/2/b/a/0/2baf2724d658f73af8ac7a1c81479f2e.mp3?hdnea=exp=1751246575~acl=/api/1/1/2/b/a/0/2baf2724d658f73af8ac7a1c81479f2e.mp3*~data=user_id=0,application_id=42~hmac=ae4527f1358f1b3447b663e20aad898fb44ff45531dac75e45c3e8a028edb3aa"
Montero (Call Me By Your Name),Lil Nas X,"https://cdnt-preview.dzcdn.net/api/1/1/8/b/7/0/8b7f0c442e08f6116e458eaa8e3d305f.mp3?hdnea=exp=1751246576~acl=/api/1/1/8/b/7/0/8b7f0c442e08f6116e458eaa8e3d305f.mp3*~data=user_id=0,application_id=42~hmac=61aeb05ba073ca200fd59f8a8041a7e3e0b69da9733e01f2ab3e1496a592f92b"
7 Nation Army,The White Stripes,"https://cdnt-preview.dzcdn.net/api/1/1/7/d/e/0/7de8805c1993e802810d7ca37a615f81.mp3?hdnea=exp=1751246576~acl=/api/1/1/7/d/e/0/7de8805c1993e802810d7ca37a615f81.mp3*~data=user_id=0,application_id=42~hmac=9330eae8b204a350df8fae65efe987998753c7d361afadf26967da086a404453"
Save Your Tears,The Weeknd,"https://cdnt-preview.dzcdn.net/api/1/1/6/0/3/0/6030d100df57535a6dd78ee08bf99261.mp3?hdnea=exp=1751246577~acl=/api/1/1/6/0/3/0/6030d100df57535a6dd78ee08bf99261.mp3*~data=user_id=0,application_id=42~hmac=3163076173d110295a0dc27327f7e10fee19cd764cadcc7791857dda69c676c9"
Every Breath You Take,The Police,"https://cdnt-preview.dzcdn.net/api/1/1/f/6/4/0/f64bec38146590bbfa345352446d5f52.mp3?hdnea=exp=1751246577~acl=/api/1/1/f/6/4/0/f64bec38146590bbfa345352446d5f52.mp3*~data=user_id=0,application_id=42~hmac=a43838dad8327ab50ca714b3db000cdd80906e423f7c4f21bd487700763b3fb7"
Waterfalls,TLC,"https://cdnt-preview.dzcdn.net/api/1/1/2/a/0/0/2a0ffb8a29cf34fd5e1c235648921ce1.mp3?hdnea=exp=1751246578~acl=/api/1/1/2/a/0/0/2a0ffb8a29cf34fd5e1c235648921ce1.mp3*~data=user_id=0,application_id=42~hmac=84d5dbd4d8c902a42109ccf4ee2d6bf75499b3af06a36977abb16e91fa7e428f"
I Wanna Dance with Somebody,Whitney Houston,"https://cdnt-preview.dzcdn.net/api/1/1/f/f/b/0/ffbaa0dbc8eb4b09e015a5b92d497425.mp3?hdnea=exp=1751246579~acl=/api/1/1/f/f/b/0/ffbaa0dbc8eb4b09e015a5b92d497425.mp3*~data=user_id=0,application_id=42~hmac=758040e12c499d3dccda74edd8736f7148bb0996cbabad56f3c2f5cd78c5598c"
Hot in Herre,Nelly,"https://cdnt-preview.dzcdn.net/api/1/1/d/0/d/0/d0d9d55037e52c4b8e25b3c37582ed11.mp3?hdnea=exp=1751246579~acl=/api/1/1/d/0/d/0/d0d9d55037e52c4b8e25b3c37582ed11.mp3*~data=user_id=0,application_id=42~hmac=a82ea35c9a78222f7f6c4672dce75113acec015be2c1e42c02c27f0f4169a853"
Boulevard of Broken Dreams,Green Day,"https://cdnt-preview.dzcdn.net/api/1/1/9/f/c/0/9fc25d6ed5383281f9cef03f4091d6b0.mp3?hdnea=exp=1751246580~acl=/api/1/1/9/f/c/0/9fc25d6ed5383281f9cef03f4091d6b0.mp3*~data=user_id=0,application_id=42~hmac=b20d33564fb3afb9d3fa9567191b9731bd0c14785846ae40f7165518b9a7e875"
good 4 u,Olivia Rodrigo,"https://cdnt-preview.dzcdn.net/api/1/1/f/8/7/0/f87c0d1c4c9e6f80c68c0fad96621642.mp3?hdnea=exp=1751246581~acl=/api/1/1/f/8/7/0/f87c0d1c4c9e6f80c68c0fad96621642.mp3*~data=user_id=0,application_id=42~hmac=f746c219930959ea1f37f58062274c64292cbd36b673a5c6d7155e3ac7c6537a"
Staying Alive,Bee Gees,"https://cdnt-preview.dzcdn.net/api/1/1/0/0/c/0/00cbbfd60789be479675f35af6277af0.mp3?hdnea=exp=1751246581~acl=/api/1/1/0/0/c/0/00cbbfd60789be479675f35af6277af0.mp3*~data=user_id=0,application_id=42~hmac=4f994fe380735224c1cd7d6085c95de86f7d2dc43c4a248799079e4a3a1e1d62"
Jailhouse Rock,Elvis Presley,"https://cdnt-preview.dzcdn.net/api/1/1/a/0/b/0/a0b0621c340191b99bc04eca4f8f1833.mp3?hdnea=exp=1751246582~acl=/api/1/1/a/0/b/0/a0b0621c340191b99bc04eca4f8f1833.mp3*~data=user_id=0,application_id=42~hmac=ef74b17ed7026cbcbfd76902ac915489c0f561a648f8fb274727877d485a2fae"
